province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
河北,2025,物理,工程力学,608,21354,本科批,hebut_hebei.xlsx,
河北,2023,物理,新能源材料与器件,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,新能源材料与器件,589,22433,本科批,hebut_hebei.xlsx,
河北,2025,物理,新能源材料与器件,608,21354,本科批,hebut_hebei.xlsx,
河北,2023,物理,数学与应用数学,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,数学与应用数学,,,本科批,hebut_hebei.xlsx,
河北,2025,物理,数学与应用数学,608,21354,本科批,hebut_hebei.xlsx,
河北,2023,物理,生物医学工程,588,21691,本科批,hebut_hebei.xlsx,
河北,2024,物理,生物医学工程,591,21147,本科批,hebut_hebei.xlsx,
河北,2025,物理,生物医学工程,606,22695,本科批,hebut_hebei.xlsx,
河北,2023,物理,智能医学工程,589,21159,本科批,hebut_hebei.xlsx,
河北,2024,物理,智能医学工程,591,21147,本科批,hebut_hebei.xlsx,
河北,2025,物理,智能医学工程,605,23383,本科批,hebut_hebei.xlsx,
河北,2023,物理,过程装备与控制工程,584,23947,本科批,hebut_hebei.xlsx,
河北,2024,物理,过程装备与控制工程,588,23055,本科批,hebut_hebei.xlsx,
河北,2025,物理,过程装备与控制工程,605,23383,本科批,hebut_hebei.xlsx,
河北,2023,物理,英语,599,16135,本科批,hebut_hebei.xlsx,
河北,2024,物理,英语,595,18663,本科批,hebut_hebei.xlsx,
河北,2025,物理,英语,605,23383,本科批,hebut_hebei.xlsx,
河北,2023,物理,高分子材料与工程,586,22825,本科批,hebut_hebei.xlsx,
河北,2024,物理,高分子材料与工程,588,23055,本科批,hebut_hebei.xlsx,
河北,2025,物理,高分子材料与工程,604,24100,本科批,hebut_hebei.xlsx,
河北,2023,物理,材料成型及控制工程,579,26949,本科批,hebut_hebei.xlsx,
河北,2024,物理,材料成型及控制工程,584,25721,本科批,hebut_hebei.xlsx,
河北,2025,物理,材料成型及控制工程,604,24100,本科批,hebut_hebei.xlsx,
河北,2023,物理,交通工程,590,20607,本科批,hebut_hebei.xlsx,
河北,2024,物理,交通工程,591,21147,本科批,hebut_hebei.xlsx,
河北,2025,物理,交通工程,601,26287,本科批,hebut_hebei.xlsx,
河北,2023,物理,金融学,593,18978,本科批,hebut_hebei.xlsx,
河北,2024,物理,金融学,589,22433,本科批,hebut_hebei.xlsx,
河北,2025,物理,金融学,601,26287,本科批,hebut_hebei.xlsx,
河北,2023,物理,制药工程,587,22232,本科批,hebut_hebei.xlsx,
河北,2024,物理,制药工程,588,23055,本科批,hebut_hebei.xlsx,
河北,2025,物理,制药工程,601,26287,本科批,hebut_hebei.xlsx,
河北,2023,物理,工业工程,585,23353,本科批,hebut_hebei.xlsx,
河北,2024,物理,工业工程,584,25721,本科批,hebut_hebei.xlsx,
河北,2025,物理,工业工程,601,26287,本科批,hebut_hebei.xlsx,
河北,2023,物理,金属材料工程（卓越工程师班）,,,本科批,hebut_hebei.xlsx,
河北,2024,物理,金属材料工程（卓越工程师班）,579,29456,本科批,hebut_hebei.xlsx,
河北,2025,物理,金属材料工程（卓越工程师班）,601,26287,本科批,hebut_hebei.xlsx,
河北,2023,物理,汉语国际教育,594,18450,本科批,hebut_hebei.xlsx,
河北,2024,物理,汉语国际教育,591,21147,本科批,hebut_hebei.xlsx,
河北,2025,物理,汉语国际教育,600,27073,本科批,hebut_hebei.xlsx,
河北,2023,物理,无机非金属材料工程,,,本科批,hebut_hebei.xlsx,
